VRM,mileage,CAP ID,Reg Date,Clean,Retail,ValuationDate,Mileage10000,CAPMan,CAPRange,CAPMod,CAPDer,ModIntroduced,ModDiscontinued,CAP Code
KO69JVJ,47000,89867,21/01/2020,18100,20500,15/01/2024,,MERCEDES-BENZ,C CLASS,C CLASS DIESEL ESTATE,C220d AMG Line Edition 5dr 9G-Tronic,2018,2021,MECC20ALE5EDTA  6   
DU21ETO,11000,89361,29/03/2021,17050,19150,23/11/2023,,HYUNDAI,TUCSON,TUCSON DIESEL ESTATE,1.6 CRDi 48V MHD 136 SE Nav 5dr 2WD DCT,2018,2021,HYTU16S6M5EDTA  3   
LR66UFD,78000,75017,13/10/2016,8550,10950,19/12/2023,,MERCEDES-BENZ,C CLASS,C CLASS DIESEL ESTATE,C220d SE Executive Edition 5dr,2014,2018,MECC21EES5EDTM  5   
SM70CVW,17000,86527,13/11/2020,15600,17400,19/12/2023,,AUDI,A1,A1 SPORTBACK,25 TFSI Sport 5dr S Tronic,2018,0,AUA110SP 5HPTA  2   
SG19CGK,23000,85013,30/06/2019,12250,14350,20/12/2023,,SEAT,ATECA,ATECA DIESEL ESTATE,1.6 TDI SE Technology [EZ] 5dr DSG,2016,2020,SEAA16STZ5EDTA      
LY20AEV,44000,85461,20/08/2020,12700,14700,05/01/2024,,AUDI,Q2,Q2 ESTATE,30 TFSI Sport 5dr,2016,2020,AUQ21030S5EPTM      
HF17RXB,39000,75583,13/03/2017,5775,7275,21/12/2023,,FORD,KA+,KA+ HATCHBACK,1.2 Zetec 5dr,2016,2018,FOKP12ZE 5HPIM      
BK72YFT,14000,91700,15/09/2022,16850,18950,19/12/2023,,PEUGEOT,2008,E-2008 ELECTRIC ESTATE,100kW GT 50kWh 5dr Auto,2019,2023,PE2000GT 5EE A  2   
AO70TWL,45000,90733,30/09/2020,10150,12250,24/01/2024,,MG MOTOR UK,ZS,ZS ELECTRIC HATCHBACK,105kW Excite EV 45kWh 5dr Auto,2019,2022,NMZS00EXV5HE A      
HY15JZW,83000,65440,23/04/2015,8225,10600,19/12/2023,,MERCEDES-BENZ,C CLASS,C CLASS DIESEL SALOON,C200 BlueTEC AMG Line 4dr,2014,2018,MECC16LMA4SDTM  5   
BD70BUP,28000,91590,30/09/2020,15550,17550,19/12/2023,,HYUNDAI,KONA,KONA ELECTRIC HATCHBACK,150kW Premium SE 64kWh 5dr Auto [10.5kW Charger],2018,2021,HYKN00P115HE A      
FX63WZH,26000,59816,12/09/2013,5925,7725,10/01/2024,,VOLKSWAGEN,POLO,POLO HATCHBACK,1.2 70 Match Edition 3dr,2009,2014,VWPO12ME73HPIM  4   
MC18WZL,47000,81918,23/08/2018,8500,10300,24/01/2024,,AUDI,A1,A1 HATCHBACK,1.4 TFSI Sport Nav 3dr,2014,2018,AUA114SON3HPTM  1   
BK71DAU,18000,90727,01/09/2021,14400,16900,24/01/2024,,PEUGEOT,208,E-208 ELECTRIC HATCHBACK,100kW GT 50kWh 5dr Auto,2019,2023,PE2800GT 5HE A  2   
CA69FEF,22000,81732,30/11/2019,10450,12450,19/12/2023,,FORD,ECOSPORT,ECOSPORT HATCHBACK,1.0 EcoBoost 140 ST-Line 5dr,2018,0,FOEO10SL45HPTM  1   
BJ71HMU,20000,93285,27/10/2021,13800,15795,12/01/2024,,FORD,FOCUS,FOCUS DIESEL HATCHBACK,1.5 EcoBlue 120 ST-Line Edition 5dr,2018,2022,FOFO15STO5HDTM  6   
LG70HWW,42000,85754,10/09/2020,12050,14150,04/01/2024,,KIA,SPORTAGE,SPORTAGE ESTATE,1.6 GDi ISG 2 5dr,2018,2021,KISP162  5EPIM  5   
CV68ZRP,71000,74857,22/10/2018,13300,15400,19/12/2023,,VOLKSWAGEN,TIGUAN,TIGUAN DIESEL ESTATE,2.0 TDi 150 SEL 5dr DSG,2016,2020,VWTI20BSL5EDTA  2   
GJ20HDH,51000,88447,05/03/2020,10750,13250,19/12/2023,,SKODA,OCTAVIA,OCTAVIA DIESEL ESTATE,1.6 TDI CR SE Drive 5dr,2017,2020,SKOC16SER5EDTM  4   
